AssessmentID,AssessmentName,AssessmentType,ApplicableRoles,DifficultyLevel
1000,Cognitive Assessment 1,Cognitive,"['System Architect', 'Sales Executive']",Easy
1001,Situational Assessment 2,Situational,"['Data Scientist', 'Support Engineer']",Easy
1002,Personality Assessment 3,Personality,"['Blockchain Developer', 'Sales Executive', 'Product Manager', 'AI Engineer', 'Cybersecurity Analyst']",Easy
1003,Technical Assessment 4,Technical,"['Consultant', 'Sales Executive', 'Blockchain Developer']",Medium
1004,Technical Assessment 5,Technical,"['Support Engineer', 'Medical Officer', 'Business Analyst', 'Software Engineer', 'Cybersecurity Analyst']",Medium
1005,Cognitive Assessment 6,Cognitive,"['Sales Executive', 'Operations Manager', 'QA Engineer']",Easy
1006,Technical Assessment 7,Technical,"['UX Designer', 'Customer Service Rep', 'HR Manager', 'Finance Analyst']",Easy
1007,Behavioral Assessment 8,Behavioral,"['DevOps Engineer', 'Marketing Executive', 'Sales Executive', 'Legal Associate']",Easy
1008,Behavioral Assessment 9,Behavioral,"['Graphic Designer', 'Operations Manager', 'Sales Executive', 'Finance Analyst']",Hard
1009,Cognitive Assessment 10,Cognitive,"['Project Manager', 'Business Analyst', 'Operations Manager', 'Legal Associate', 'Support Engineer']",Hard
1010,Cognitive Assessment 11,Cognitive,"['Data Scientist', 'Consultant', 'Medical Officer', 'QA Engineer', 'Blockchain Developer', 'DevOps Engineer']",Medium
1011,Situational Assessment 12,Situational,"['Support Engineer', 'Logistics Coordinator', 'DevOps Engineer', 'System Architect']",Medium
1012,Personality Assessment 13,Personality,"['HR Manager', 'Marketing Executive', 'IT Administrator', 'Data Scientist', 'Product Manager', 'QA Engineer']",Hard
1013,Personality Assessment 14,Personality,"['IT Administrator', 'Project Manager', 'Product Manager', 'Retail Manager', 'Customer Service Rep', 'Support Engineer']",Easy
1014,Personality Assessment 15,Personality,"['Blockchain Developer', 'Software Engineer', 'DevOps Engineer', 'Data Scientist', 'Graphic Designer', 'Content Strategist']",Easy
1015,Personality Assessment 16,Personality,"['System Architect', 'Operations Manager']",Easy
1016,Situational Assessment 17,Situational,"['HR Manager', 'Team Lead', 'Legal Associate']",Hard
1017,Cognitive Assessment 18,Cognitive,"['HR Manager', 'System Architect', 'Operations Manager', 'QA Engineer', 'Finance Analyst']",Hard
1018,Personality Assessment 19,Personality,"['Team Lead', 'Legal Associate']",Medium
1019,Cognitive Assessment 20,Cognitive,"['Cybersecurity Analyst', 'Logistics Coordinator', 'Medical Officer']",Easy
1020,Personality Assessment 21,Personality,"['HR Manager', 'UX Designer', 'Customer Service Rep', 'AI Engineer', 'Nurse Manager', 'Cybersecurity Analyst']",Easy
1021,Personality Assessment 22,Personality,"['Marketing Executive', 'Content Strategist', 'Retail Manager', 'DevOps Engineer']",Hard
1022,Situational Assessment 23,Situational,"['Team Lead', 'Digital Marketer', 'DevOps Engineer', 'AI Engineer', 'Data Scientist', 'Logistics Coordinator']",Hard
1023,Technical Assessment 24,Technical,"['Nurse Manager', 'Consultant', 'Marketing Executive']",Medium
1024,Situational Assessment 25,Situational,"['Digital Marketer', 'IT Administrator', 'QA Engineer', 'Customer Service Rep', 'Retail Manager', 'Project Manager']",Medium
1025,Personality Assessment 26,Personality,"['UX Designer', 'Consultant', 'DevOps Engineer', 'Retail Manager']",Easy
1026,Technical Assessment 27,Technical,"['Product Manager', 'System Architect', 'Project Manager', 'Medical Officer', 'Blockchain Developer', 'Consultant']",Hard
1027,Situational Assessment 28,Situational,"['AI Engineer', 'Retail Manager', 'Cybersecurity Analyst']",Easy
1028,Technical Assessment 29,Technical,"['Consultant', 'Retail Manager', 'Software Engineer', 'System Architect', 'Blockchain Developer']",Easy
1029,Behavioral Assessment 30,Behavioral,"['Project Manager', 'Software Engineer', 'IT Administrator', 'Medical Officer', 'Blockchain Developer']",Medium
1030,Behavioral Assessment 31,Behavioral,"['Consultant', 'Software Engineer', 'AI Engineer', 'Operations Manager']",Hard
1031,Technical Assessment 32,Technical,"['Product Manager', 'Team Lead', 'Project Manager', 'Retail Manager', 'AI Engineer', 'Support Engineer']",Hard
1032,Personality Assessment 33,Personality,"['Blockchain Developer', 'Business Analyst', 'Graphic Designer', 'DevOps Engineer', 'System Architect', 'Medical Officer']",Hard
1033,Cognitive Assessment 34,Cognitive,"['Medical Officer', 'QA Engineer']",Medium
1034,Situational Assessment 35,Situational,"['Digital Marketer', 'QA Engineer', 'UX Designer', 'Consultant']",Medium
1035,Cognitive Assessment 36,Cognitive,"['Project Manager', 'Customer Service Rep', 'Data Scientist', 'Nurse Manager', 'QA Engineer']",Hard
1036,Technical Assessment 37,Technical,"['Project Manager', 'AI Engineer', 'System Architect']",Easy
1037,Situational Assessment 38,Situational,"['Graphic Designer', 'Software Engineer', 'AI Engineer', 'Project Manager', 'Logistics Coordinator']",Easy
1038,Cognitive Assessment 39,Cognitive,"['Product Manager', 'Customer Service Rep', 'UX Designer']",Medium
1039,Behavioral Assessment 40,Behavioral,"['Data Scientist', 'HR Manager', 'Support Engineer', 'Product Manager', 'Medical Officer', 'Digital Marketer']",Easy
1040,Behavioral Assessment 41,Behavioral,"['Customer Service Rep', 'HR Manager', 'Blockchain Developer', 'Operations Manager']",Easy
1041,Situational Assessment 42,Situational,"['HR Manager', 'System Architect', 'Product Manager', 'Consultant', 'Software Engineer']",Easy
1042,Personality Assessment 43,Personality,"['Cybersecurity Analyst', 'Content Strategist']",Hard
1043,Cognitive Assessment 44,Cognitive,"['Retail Manager', 'Customer Service Rep', 'Nurse Manager', 'HR Manager']",Hard
1044,Technical Assessment 45,Technical,"['HR Manager', 'Team Lead', 'Software Engineer', 'Data Scientist', 'Graphic Designer']",Medium
1045,Situational Assessment 46,Situational,"['Customer Service Rep', 'Nurse Manager', 'Business Analyst', 'Product Manager']",Easy
1046,Technical Assessment 47,Technical,"['Retail Manager', 'QA Engineer', 'UX Designer', 'Software Engineer']",Easy
1047,Situational Assessment 48,Situational,"['System Architect', 'DevOps Engineer', 'Cybersecurity Analyst']",Easy
1048,Behavioral Assessment 49,Behavioral,"['Business Analyst', 'Software Engineer', 'QA Engineer', 'Team Lead', 'Marketing Executive', 'System Architect']",Hard
1049,Situational Assessment 50,Situational,"['System Architect', 'DevOps Engineer', 'Team Lead', 'Blockchain Developer']",Easy
1050,Cognitive Assessment 51,Cognitive,"['Content Strategist', 'Logistics Coordinator', 'DevOps Engineer', 'UX Designer', 'Product Manager']",Easy
1051,Behavioral Assessment 52,Behavioral,"['Consultant', 'AI Engineer', 'DevOps Engineer', 'Software Engineer']",Hard
1052,Personality Assessment 53,Personality,"['Content Strategist', 'Digital Marketer', 'Software Engineer', 'System Architect']",Hard
